0.0.0.0	0.0.0.0	4l
0.0.0.1	0.*.*.*	IANA保留地址
1.0.0.0	1.0.0.*	澳大利亚
1.0.1.0	1.1.0.*	亚太地区
1.1.1.0	1.1.1.*	澳大利亚
1.1.2.0	1.2.2.*	亚太地区
1.2.3.0	1.2.3.*	澳大利亚
1.2.4.0	1.3.*.*	亚太地区
1.4.0.0	1.4.0.*	澳大利亚
1.4.1.0	1.8.*.*	亚太地区
1.9.0.0	1.9.*.*	马来西亚
1.10.0.0	1.10.9.*	亚太地区
1.10.10.0	1.10.10.*	澳大利亚
1.10.11.0	1.10.*.*	亚太地区
1.11.0.0	1.11.*.*	韩国
1.12.0.0	1.15.*.*	北京市
1.16.0.0	1.19.*.*	韩国
1.20.0.0	1.20.*.*	亚太地区
1.21.0.0	1.21.*.*	日本
1.22.0.0	1.23.*.*	印度
1.24.0.0	1.31.*.*	内蒙古
1.32.0.0	1.32.*.*	亚太地区
1.33.0.0	1.33.*.*	日本
1.34.0.0	1.35.*.*	台湾省
1.36.0.0	1.37.*.*	香港
1.38.0.0	1.39.*.*	印度
1.40.0.0	1.44.*.*	澳大利亚
1.45.0.0	1.45.*.*	北京市
1.46.0.0	1.47.*.*	泰国
1.48.0.0	1.49.*.*	贵州省
1.50.0.0	1.50.*.*	宁夏
1.51.0.0	1.51.*.*	山东省济南市
1.52.0.0	1.55.*.*	越南
1.56.0.0	1.63.*.*	黑龙江省
1.64.0.0	1.65.*.*	香港
1.66.0.0	1.67.*.*	日本
1.68.0.0	1.71.*.*	山西省
1.72.0.0	1.79.*.*	日本
1.80.0.0	1.87.*.*	陕西省
1.88.0.0	1.95.*.*	北京市
1.96.0.0	1.111.*.*	韩国
1.112.0.0	1.115.*.*	日本
1.116.0.0	1.119.*.*	中国
1.120.0.0	1.159.*.*	澳大利亚
1.160.0.0	1.175.*.*	台湾省
1.176.0.0	1.177.*.*	韩国
1.178.0.0	1.179.127.*	澳大利亚
1.179.128.0	1.179.*.*	亚太地区
1.180.0.0	1.183.*.*	内蒙古
1.184.0.0	1.185.*.*	广东省广州市
1.186.0.0	1.186.*.*	印度
1.187.0.0	1.187.*.*	亚太地区
1.188.0.0	1.191.*.*	黑龙江省
1.192.0.0	1.194.*.*	河南省
1.195.0.0	1.195.*.*	河南省三门峡市
1.196.0.0	1.199.*.*	河南省
1.200.0.0	1.200.3.*	澳大利亚
1.200.4.0	1.200.*.*	亚太地区
1.201.0.0	1.201.*.*	韩国
1.202.0.0	1.203.*.*	北京市
1.204.0.0	1.207.*.*	贵州省
1.208.0.0	1.*.*.*	韩国
2.0.0.0	2.15.*.*	法国
2.16.0.0	2.23.*.*	欧洲
2.24.0.0	2.31.*.*	英国
2.32.0.0	2.47.*.*	意大利
2.48.0.0	2.51.*.*	阿联酋
2.52.0.0	2.55.*.*	以色列
2.56.0.0	2.59.*.*	乌克兰
2.60.0.0	2.63.*.*	俄罗斯
2.64.0.0	2.71.*.*	瑞典
2.72.0.0	2.79.*.*	哈萨克斯坦
2.80.0.0	2.83.*.*	葡萄牙
2.84.0.0	2.87.*.*	希腊
2.88.0.0	2.91.*.*	沙特阿拉伯
2.92.0.0	2.95.*.*	俄罗斯
2.96.0.0	2.103.*.*	英国
2.104.0.0	2.111.*.*	丹麦
2.112.0.0	2.119.*.*	意大利
2.120.0.0	2.127.*.*	英国
2.128.0.0	2.135.*.*	欧洲和中东地区
2.136.0.0	2.143.*.*	西班牙
2.144.0.0	2.147.*.*	伊朗
2.148.0.0	2.151.*.*	挪威
2.152.0.0	2.155.*.*	西班牙
2.156.0.0	2.159.*.*	意大利
2.160.0.0	2.175.*.*	德国
2.176.0.0	2.191.*.*	伊朗
2.192.0.0	2.199.*.*	意大利
2.200.0.0	2.*.*.*	欧洲和中东地区
3.0.0.0	4.*.*.*	美国
5.0.0.0	5.*.*.*	IANA
6.0.0.0	9.*.*.*	美国
10.0.0.0	10.*.*.*	局域网
11.0.0.0	13.*.*.*	美国
14.0.0.0	14.0.7.*	亚太地区
14.0.8.0	14.0.11.*	日本
14.0.12.0	14.0.15.*	亚太地区
14.0.16.0	14.0.31.*	越南
14.0.32.0	14.0.127.*	韩国
14.0.128.0	14.0.*.*	香港
14.1.0.0	14.1.3.*	亚太地区
14.1.4.0	14.1.15.*	日本
14.1.16.0	14.1.19.*	澳大利亚
14.1.20.0	14.1.23.*	香港
14.1.24.0	14.1.31.*	日本
14.1.32.0	14.1.95.*	新西兰
14.1.96.0	14.1.127.*	印度
14.1.128.0	14.1.*.*	马来西亚
14.2.0.0	14.2.*.*	澳大利亚
14.3.0.0	14.3.*.*	亚太地区
14.4.0.0	14.7.*.*	韩国
14.8.0.0	14.15.*.*	日本
14.16.0.0	14.31.*.*	广东省
14.32.0.0	14.95.*.*	韩国
14.96.0.0	14.99.*.*	印度
14.100.0.0	14.100.*.*	新加坡
14.101.0.0	14.101.*.*	日本
14.102.0.0	14.102.127.*	印度
14.102.128.0	14.102.131.*	亚太地区
14.102.132.0	14.102.135.*	日本
14.102.136.0	14.102.143.*	澳大利亚
14.102.144.0	14.102.151.*	马来西亚
14.102.152.0	14.102.155.*	印度尼西亚
14.102.156.0	14.102.159.*	上海市静安区
14.102.160.0	14.102.191.*	印度
14.102.192.0	14.102.223.*	日本
14.102.224.0	14.102.239.*	印度
14.102.240.0	14.102.*.*	香港
14.103.0.0	14.103.*.*	北京市
14.104.0.0	14.111.*.*	重庆市
14.112.0.0	14.127.*.*	广东省
14.128.0.0	14.128.3.*	亚太地区
14.128.4.0	14.128.7.*	新西兰
14.128.8.0	14.128.11.*	泰国
14.128.12.0	14.128.15.*	尼泊尔
14.128.16.0	14.128.31.*	日本
14.128.32.0	14.128.63.*	澳大利亚
14.128.64.0	14.128.127.*	日本
14.128.128.0	14.129.*.*	韩国
14.130.0.0	14.131.*.*	北京市
14.132.0.0	14.133.*.*	日本
14.134.0.0	14.135.*.*	宁夏
14.136.0.0	14.136.*.*	香港
14.137.0.0	14.137.223.*	澳大利亚
14.137.224.0	14.137.*.*	亚太地区
14.138.0.0	14.138.*.*	韩国
14.139.0.0	14.143.*.*	印度
14.144.0.0	14.159.*.*	广东省
14.160.0.0	14.191.*.*	越南
14.192.0.0	14.192.31.*	菲律宾
14.192.32.0	14.192.59.*	日本
14.192.60.0	14.192.63.*	北京市
14.192.64.0	14.192.71.*	马来西亚
14.192.72.0	14.192.75.*	巴布亚新几内亚
14.192.76.0	14.192.79.*	亚太地区
14.192.80.0	14.192.95.*	韩国
14.192.96.0	14.192.127.*	日本
14.192.128.0	14.192.159.*	巴基斯坦
14.192.160.0	14.192.191.*	澳大利亚
14.192.192.0	14.192.*.*	马来西亚
14.193.0.0	14.193.*.*	日本
14.194.0.0	14.195.*.*	印度
14.196.0.0	14.197.*.*	北京市
14.198.0.0	14.199.*.*	香港
14.200.0.0	14.203.*.*	澳大利亚
14.204.0.0	14.205.*.*	云南省
14.206.0.0	14.206.*.*	韩国
14.207.0.0	14.207.*.*	泰国
