
0.0.0	7.*.*	越南
8.0.0	8.80.*	天津市
8.81.0	8.81.*	天津市北辰区
8.82.0	8.90.*	天津市
8.91.0	8.91.*	天津市滨海新区
8.92.0	8.92.*	天津市汉沽区
8.93.0	8.94.*	天津市
8.95.0	8.95.*	天津市汉沽区
8.96.0	8.98.*	天津市
8.99.0	8.99.*	天津市滨海新区
8.100.0	8.100.*	天津市汉沽区
8.101.0	8.113.30	天津市
8.113.31	8.113.31	天津市宝坻区
8.113.32	8.119.*	天津市
8.120.0	8.120.*	天津市蓟县
8.121.0	8.129.*	天津市
8.130.0	8.130.*	天津市宝坻区
8.131.0	8.182.*	天津市
8.183.0	8.183.*	天津市南开区
8.184.0	8.196.*	天津市
8.197.0	8.199.*	天津市南开区
8.200.0	8.203.*	天津市和平区
8.204.0	8.205.*	天津市
8.206.0	8.207.*	天津市和平区
8.208.0	8.208.*	天津市
8.209.0	8.209.*	天津市河西区
8.210.0	8.211.*	天津市
8.212.0	8.212.*	天津市南开区
8.213.0	8.213.*	天津市
8.214.0	8.214.*	天津市和平区
8.215.0	8.215.*	天津市
8.216.0	8.217.*	天津市河西区
8.218.0	8.218.*	天津市
8.219.0	8.219.*	天津市和平区
8.220.0	9.34.*	天津市
9.35.0	9.35.*	天津市东丽区
9.36.0	9.36.*	天津市
9.37.0	9.41.*	天津市塘沽区
9.42.0	9.47.95	天津市
9.47.96	9.47.96	天津市河北区
9.47.97	9.118.*	天津市
9.119.0	9.119.*	天津市南开区
9.120.0	9.153.*	天津市
9.154.0	9.154.*	天津市滨海新区
9.155.0	9.157.*	天津市南开区
9.158.0	9.158.*	天津市河西区
9.159.0	9.164.*	天津市南开区
9.165.0	9.165.*	天津市塘沽区
9.166.0	9.169.*	天津市南开区
9.170.0	10.29.*	天津市
10.30.0	10.30.*	天津市南开区
10.31.0	10.58.*	天津市
10.59.0	10.60.*	天津市津南区
10.61.0	10.103.*	天津市
10.104.0	10.104.*	天津市河西区
10.105.0	11.112.*	天津市
11.113.0	11.113.*	天津市河东区
11.114.0	11.114.*	天津市
11.115.0	11.115.*	天津市河东区
11.116.0	11.122.*	天津市
11.123.0	11.123.*	天津市河东区
11.124.0	11.124.*	天津市河北区
11.125.0	11.129.*	天津市
11.130.0	11.130.*	天津市南开区
11.131.0	11.131.*	天津市
11.132.0	11.132.*	天津市红桥区
11.133.0	11.133.*	天津市
11.134.0	11.134.*	天津市南开区
11.135.0	11.135.*	天津市
11.136.0	11.136.*	天津市河东区
11.137.0	11.137.*	天津市
11.138.0	11.138.*	天津市南开区
11.139.0	11.146.*	天津市
11.147.0	11.148.*	天津市南开区
11.149.0	11.149.*	天津市
11.150.0	11.150.*	天津市河西区
11.151.0	11.154.*	天津市
11.155.0	11.155.*	天津市河北区
11.156.0	11.156.*	天津市河西区
11.157.0	11.157.*	天津市河北区
11.158.0	11.159.*	天津市河东区
11.160.0	12.3.*	天津市
12.4.0	12.4.*	天津市河北区
12.5.0	12.48.*	天津市
12.49.0	12.49.*	天津市河北区
12.50.0	12.85.*	天津市
12.86.0	12.88.*	天津市滨海新区
12.89.0	12.111.*	天津市
12.112.0	12.113.*	天津市静海县
12.114.0	12.116.*	天津市
12.117.0	12.117.*	天津市静海县
12.118.0	12.216.*	天津市
12.217.0	12.217.*	天津市滨海新区
12.218.0	12.230.*	天津市
12.231.0	12.231.*	天津市滨海新区
12.232.0	12.245.*	天津市
12.246.0	12.251.*	天津市滨海新区
12.252.0	13.0.*	天津市
13.1.0	13.2.*	天津市滨海新区
13.3.0	13.55.*	天津市
13.56.0	13.56.*	天津市滨海新区
13.57.0	13.62.*	天津市
13.63.0	13.63.*	天津市汉沽区
13.64.0	13.64.*	天津市
13.65.0	13.65.*	天津市滨海新区
13.66.0	13.80.*	天津市
13.81.0	13.81.*	天津市蓟县
13.82.0	13.100.*	天津市
13.101.0	13.101.*	天津市宝坻区
13.102.0	13.117.*	天津市
13.118.0	13.118.*	天津市北辰区
13.119.0	13.119.*	天津市
13.120.0	13.120.*	天津市宝坻区
13.121.0	13.156.*	天津市
13.157.0	13.157.*	天津市武清区
13.158.0	14.125.*	天津市
14.126.0	14.126.*	天津市河西区
14.127.0	14.137.*	天津市
14.138.0	14.144.*	天津市红桥区
14.145.0	14.231.*	天津市
14.232.0	14.232.*	天津市北辰区
14.233.0	14.247.*	天津市
14.248.0	14.248.*	天津市滨海新区
14.249.0	15.12.*	天津市
15.13.0	15.15.*	天津市滨海新区
15.16.0	15.16.*	天津市
15.17.0	15.17.*	天津市汉沽区
15.18.0	15.18.*	天津市滨海新区
15.19.0	15.31.*	天津市
15.32.0	15.47.*	天津市红桥区
15.48.0	15.49.*	天津市
15.50.0	15.51.*	天津市滨海区
15.52.0	15.56.*	天津市
15.57.0	15.80.*	天津市宝坻区
15.81.0	15.85.*	天津市
15.86.0	15.86.*	天津市宝坻区
15.87.0	15.*.*	天津市
16.0.0	17.*.*	韩国
18.0.0	18.15.*	香港
18.16.0	18.23.*	印度尼西亚
18.24.0	18.31.*	日本
18.32.0	18.63.*	新加坡
18.64.0	18.79.*	香港
18.80.0	18.87.*	新西兰
18.88.0	18.95.*	亚太地区
18.96.0	18.127.*	香港
18.128.0	18.223.*	日本
18.224.0	18.231.*	孟加拉
18.232.0	18.239.*	澳大利亚
18.240.0	18.*.*	巴基斯坦
19.0.0	19.*.*	台湾省
20.0.0	20.15.*	澳大利亚
20.16.0	20.31.*	巴基斯坦
20.32.0	20.39.*	瓦利斯和富图纳
20.40.0	20.47.*	新加坡
20.48.0	20.63.*	印度尼西亚
20.64.0	20.71.*	澳大利亚
20.72.0	20.79.*	日本
20.80.0	20.95.*	韩国
20.96.0	20.111.*	亚太地区
20.112.0	20.119.*	柬埔寨
20.120.0	20.127.*	关岛
20.128.0	20.191.*	新加坡
20.192.0	20.*.*	韩国
21.0.0	21.47.*	江西省
21.48.0	21.48.*	江西省抚州市
21.49.0	21.98.*	江西省
21.99.0	21.99.*	江西省瑞金市
21.100.0	21.141.*	江西省
21.142.0	21.142.*	江西省抚州市
21.143.0	21.*.*	江西省
22.0.0	22.*.*	陕西省西安市
23.0.0	23.63.*	陕西省咸阳市
23.64.0	23.77.*	陕西省商洛市
23.78.0	23.79.*	陕西省
23.80.0	23.95.*	陕西省渭南市
23.96.0	23.111.*	陕西省榆林市
23.112.0	23.127.*	陕西省宝鸡市
23.128.0	23.130.*	陕西省咸阳市
23.131.0	23.131.*	陕西省西安市
23.132.0	23.191.*	陕西省咸阳市
23.192.0	23.224.*	陕西省铜川市
23.225.0	23.239.*	陕西省安康市
23.240.0	23.*.*	陕西省铜川市
24.0.0	24.*.*	福建省泉州市
25.0.0	25.127.*	福建省福州市
25.128.0	25.*.*	福建省厦门市
26.0.0	26.29.*	福建省晋江市
26.30.0	26.30.*	福建省泉州市
26.31.0	26.63.*	福建省晋江市
26.64.0	26.143.*	福建省莆田市
26.144.0	26.155.*	福建省宁德市
26.156.0	26.176.*	福建省莆田市
26.177.0	26.177.*	福建省福州市
26.178.0	26.183.*	福建省莆田市
26.184.0	26.190.*	福建省宁德市
26.191.0	26.*.*	福建省莆田市
27.0.0	27.63.*	福建省漳州市
27.64.0	27.92.*	福建省福州市
27.93.0	27.127.*	福建省龙岩市
27.128.0	27.159.*	福建省
27.160.0	27.191.*	福建省漳州市
27.192.0	27.*.*	福建省
28.0.0	28.127.*	福建省泉州市
28.128.0	28.190.*	福建省厦门市
28.191.0	28.191.*	福建省
28.192.0	28.235.*	福建省福州市
28.236.0	28.237.*	福建省厦门市
28.238.0	28.*.*	福建省福州市
29.0.0	31.*.*	福建省
32.0.0	32.0.*	陕西省西安市
32.1.0	32.13.*	陕西省
32.14.0	32.14.*	陕西省延安市
32.15.0	32.15.*	陕西省
32.16.0	32.23.*	陕西省榆林市
32.24.0	32.31.*	陕西省
32.32.0	32.42.*	陕西省汉中市
32.43.0	32.63.*	陕西省
32.64.0	32.98.*	陕西省渭南市
32.99.0	32.111.*	陕西省
32.112.0	32.127.*	陕西省宝鸡市
32.128.0	32.*.*	陕西省西安市
33.0.0	33.39.*	陕西省宝鸡市
33.40.0	33.40.*	陕西省西安市
33.41.0	33.127.*	陕西省宝鸡市
33.128.0	33.128.*	陕西省汉中市
33.129.0	33.129.*	陕西省西安市
33.130.0	33.191.*	陕西省汉中市
33.192.0	33.199.*	陕西省咸阳市
33.200.0	33.205.*	陕西省商洛市
33.206.0	33.215.*	陕西省咸阳市
33.216.0	33.216.*	陕西省商洛市
33.217.0	33.*.*	陕西省咸阳市
34.0.0	34.71.*	陕西省
34.72.0	34.72.*	陕西省西安市
34.73.0	34.127.*	陕西省
34.128.0	34.191.*	陕西省渭南市
34.192.0	34.207.*	陕西省榆林市
34.208.0	34.223.*	陕西省延安市
34.224.0	34.239.*	陕西省咸阳市
34.240.0	34.247.*	陕西省铜川市
34.248.0	34.*.*	陕西省商洛市
35.0.0	35.2.*	陕西省
35.3.0	35.23.*	陕西省榆林市
35.24.0	35.37.*	陕西省
35.38.0	35.47.*	陕西省延安市
35.48.0	35.59.*	陕西省
35.60.0	35.67.*	陕西省安康市
35.68.0	35.116.*	陕西省
35.117.0	35.181.*	陕西省西安市
35.182.0	35.223.*	陕西省
35.224.0	35.241.*	陕西省宝鸡市
35.242.0	35.253.*	陕西省安康市
35.254.0	35.*.*	陕西省宝鸡市
36.0.0	36.184.*	陕西省西安市
36.185.0	36.185.*	陕西省汉中市
36.186.0	36.191.*	陕西省西安市
36.192.0	36.231.*	陕西省榆林市
36.232.0	36.235.*	陕西省西安市
36.236.0	38.*.*	陕西省商洛市
39.0.0	39.*.*	陕西省西安市
40.0.0	40.138.*	江西省南昌市
40.139.0	40.155.*	江西省
40.156.0	40.159.*	江西省赣州市
40.160.0	40.177.*	江西省
40.178.0	40.184.*	江西省九江市
40.185.0	40.195.*	江西省
40.196.0	40.197.*	江西省九江市
40.198.0	40.226.*	江西省
40.227.0	40.251.*	江西省萍乡市
40.252.0	40.*.*	江西省宜春市
41.0.0	41.144.*	江西省
41.145.0	41.145.*	江西省南昌市
41.146.0	41.165.*	江西省
41.166.0	41.166.*	江西省南昌市
41.167.0	41.191.*	江西省
41.192.0	41.*.*	江西省赣州市
42.0.0	42.31.*	江西省上饶市
42.32.0	42.32.*	江西省九江市
42.33.0	42.48.*	江西省上饶市
42.49.0	42.49.*	江西省景德镇市
42.50.0	42.63.*	江西省上饶市
42.64.0	42.127.*	江西省抚州市
42.128.0	42.143.*	江西省南昌市
42.144.0	42.156.*	江西省新余市
42.157.0	42.180.*	江西省上饶市
42.181.0	42.191.*	江西省新余市
42.192.0	42.*.*	江西省宜春市
43.0.0	43.8.*	江西省吉安市
43.9.0	43.12.*	江西省九江市
43.13.0	43.17.*	江西省吉安市
43.18.0	43.26.*	江西省景德镇市
43.27.0	43.31.*	江西省吉安市
43.32.0	43.49.*	江西省鹰潭市
43.50.0	43.50.*	江西省萍乡市
43.51.0	43.53.*	江西省鹰潭市
43.54.0	43.54.*	江西省景德镇市
43.55.0	43.63.*	江西省鹰潭市
43.64.0	43.191.*	江西省南昌市
43.192.0	44.63.*	江西省赣州市
44.64.0	44.248.*	江西省
44.249.0	44.249.*	江西省抚州市
44.250.0	45.60.*	江西省
45.61.0	45.61.*	江西省南昌市
45.62.0	45.95.*	江西省
45.96.0	45.96.*	江西省九江市
45.97.0	45.127.*	江西省
45.128.0	45.*.*	江西省九江市
46.0.0	46.*.*	日本
47.0.0	47.*.*	泰国
48.0.0	48.43.*	中国
48.44.0	48.47.*	江西省萍乡市
48.48.0	48.57.*	江西省
48.58.0	48.59.*	中国
48.60.0	48.63.*	江西省九江市
48.64.0	48.67.*	福建省厦门市
48.68.0	48.71.*	中国
48.72.0	48.75.*	福建省漳州市
48.76.0	48.183.*	中国
48.184.0	48.184.*	福建省漳州市
48.185.0	48.231.*	中国
48.232.0	48.235.*	广东省广州市
48.236.0	50.*.*	中国
51.0.0	51.15.*	江西省南昌市
51.16.0	51.16.*	江西省萍乡市
51.17.0	51.17.*	江西省南昌市
51.18.0	51.31.*	江西省萍乡市
51.32.0	51.49.*	江西省赣州市
51.50.0	51.62.*	江西省
51.63.0	51.63.*	江西省南昌市
51.64.0	51.*.*	江西省
52.0.0	52.*.*	亚太地区
53.0.0	53.39.*	日本
53.40.0	53.47.*	亚太地区
53.48.0	53.63.*	北京市
