
0.0.0	0.7.*	澳大利亚
0.8.0	0.15.*	亚太地区
0.16.0	0.31.*	浙江省杭州市
0.32.0	0.55.*	日本
0.56.0	0.63.*	亚太地区
0.64.0	0.*.*	韩国
1.0.0	1.63.*	菲律宾
1.64.0	1.127.*	韩国
1.128.0	3.*.*	日本
4.0.0	5.5.*	北京市
5.6.0	5.14.*	上海市浦东新区
5.15.0	5.19.*	北京市
5.20.0	5.20.*	天津市
5.21.0	5.*.*	北京市
6.0.0	7.*.*	新加坡
8.0.0	8.1.*	广东省广州市
8.2.0	8.2.*	广东省广州市黄埔区
8.3.0	8.5.*	广东省广州市
8.6.0	8.7.*	广东省广州市海珠区
8.8.0	8.9.*	广东省广州市
8.10.0	8.10.*	广东省广州市番禺区
8.11.0	8.11.*	广东省广州市海珠区
8.12.0	8.16.*	广东省广州市
8.17.0	8.17.*	广东省广州市白云区
8.18.0	8.37.*	广东省广州市
8.38.0	8.38.*	广东省广州市天河区
8.39.0	8.41.*	广东省广州市
8.42.0	8.42.*	广东省广州市白云区
8.43.0	8.49.*	广东省广州市
8.50.0	8.50.*	广东省广州市天河区
8.51.0	8.53.*	广东省广州市
8.54.0	8.55.*	广东省广州市黄埔区
8.56.0	8.64.73	广东省广州市
8.64.74	8.64.74	广东省广州市花都区
8.64.75	8.66.33	广东省广州市
8.66.34	8.66.34	广东省广州市番禺区
8.66.35	8.66.89	广东省广州市
8.66.90	8.66.91	广东省广州市番禺区
8.66.92	8.66.97	广东省广州市
8.66.98	8.66.98	广东省广州市番禺区
8.66.99	8.66.137	广东省广州市
8.66.138	8.66.138	广东省广州市番禺区
8.66.139	8.67.49	广东省广州市
8.67.50	8.67.50	广东省广州市增城市
8.67.51	8.68.33	广东省广州市
8.68.34	8.68.34	广东省广州市黄埔区
8.68.35	8.69.17	广东省广州市
8.69.18	8.69.18	广东省广州市荔湾区
8.69.19	8.69.73	广东省广州市
8.69.74	8.69.74	广东省广州市白云区
8.69.75	8.69.117	广东省广州市
8.69.118	8.69.118	广东省广州市荔湾区
8.69.119	8.69.154	广东省广州市
8.69.155	8.69.155	广东省广州市荔湾区
8.69.156	8.69.209	广东省广州市
8.69.210	8.69.210	广东省广州市天河区
8.69.211	8.69.217	广东省广州市
8.69.218	8.69.218	广东省广州市天河区
8.69.219	8.69.237	广东省广州市
8.69.238	8.69.238	广东省广州市越秀区
8.69.239	8.70.9	广东省广州市
8.70.10	8.70.10	广东省广州市黄埔区
8.70.11	8.72.81	广东省广州市
8.72.82	8.72.82	广东省广州市越秀区
8.72.83	8.80.210	广东省广州市
8.80.211	8.80.211	广东省广州市黄埔区
8.80.212	8.80.241	广东省广州市
8.80.242	8.80.242	广东省广州市荔湾区
8.80.243	8.81.3	广东省广州市
8.81.4	8.81.4	广东省广州市天河区
8.81.5	8.81.49	广东省广州市
8.81.50	8.81.50	广东省广州市天河区
8.81.51	8.81.105	广东省广州市
8.81.106	8.81.106	广东省广州市海珠区
8.81.107	8.81.201	广东省广州市
8.81.202	8.81.202	广东省广州市海珠区
8.81.203	8.81.249	广东省广州市
8.81.250	8.81.250	广东省广州市白云区
8.81.251	8.82.1	广东省广州市
8.82.2	8.82.2	广东省广州市白云区
8.82.3	8.82.3	广东省广州市
8.82.4	8.82.4	广东省广州市白云区
8.82.5	8.82.18	广东省广州市
8.82.19	8.82.19	广东省广州市海珠区
8.82.20	8.82.129	广东省广州市
8.82.130	8.82.130	广东省广州市海珠区
8.82.131	8.83.1	广东省广州市
8.83.2	8.83.6	广东省广州市白云区
8.83.7	8.83.162	广东省广州市
8.83.163	8.83.163	广东省广州市海珠区
8.83.164	8.83.177	广东省广州市
8.83.178	8.83.181	广东省广州市天河区
8.83.182	8.84.97	广东省广州市
8.84.98	8.84.98	广东省广州市天河区
8.84.99	8.84.161	广东省广州市
8.84.162	8.84.162	广东省广州市越秀区
8.84.163	8.125.*	广东省广州市
8.126.0	8.126.*	广东省广州市白云区
8.127.0	8.183.*	广东省广州市
8.184.0	8.184.*	广东省广州市番禺区
8.185.0	8.187.57	广东省广州市
8.187.58	8.187.58	广东省广州市番禺区
8.187.59	8.190.65	广东省广州市
8.190.66	8.190.66	广东省广州市天河区
8.190.67	8.209.141	广东省广州市
8.209.142	8.209.142	广东省广州市番禺区
8.209.143	8.234.41	广东省广州市
8.234.42	8.234.42	广东省广州市白云区
8.234.43	8.*.*	广东省广州市
9.0.0	9.14.*	广东省佛山市
9.15.0	9.15.*	广东省佛山市顺德区
9.16.0	9.19.*	广东省佛山市
9.20.0	9.20.*	广东省佛山市南海区
9.21.0	9.27.*	广东省佛山市
9.28.0	9.33.*	广东省佛山市南海区
9.34.0	9.63.*	广东省佛山市顺德区
9.64.0	9.70.*	广东省佛山市
9.71.0	9.71.*	广东省佛山市顺德区
9.72.0	9.91.*	广东省佛山市
9.92.0	9.93.*	广东省佛山市禅城区
9.94.0	9.99.*	广东省佛山市
9.100.0	9.100.*	广东省佛山市禅城区
9.101.0	9.125.*	广东省佛山市
9.126.0	9.126.*	广东省佛山市南海区
9.127.0	9.131.*	广东省佛山市
9.132.0	9.132.*	广东省佛山市南海区
9.133.0	9.143.*	广东省佛山市
9.144.0	9.155.*	广东省佛山市南海区
9.156.0	9.156.*	广东省佛山市顺德区
9.157.0	9.158.*	广东省佛山市
9.159.0	9.159.*	广东省佛山市三水区
9.160.0	9.162.*	广东省佛山市
9.163.0	9.163.*	广东省佛山市禅城区
9.164.0	9.171.*	广东省佛山市
9.172.0	9.172.*	广东省佛山市顺德区
9.173.0	9.175.*	广东省佛山市
9.176.0	9.186.*	广东省佛山市顺德区
9.187.0	9.199.*	广东省佛山市
9.200.0	9.200.*	广东省佛山市高明区
9.201.0	9.216.73	广东省佛山市
9.216.74	9.216.74	广东省佛山市禅城区
9.216.75	9.217.113	广东省佛山市
9.217.114	9.217.114	广东省佛山市禅城区
9.217.115	9.230.153	广东省佛山市
9.230.154	9.230.154	广东省佛山市南海区
9.230.155	9.231.81	广东省佛山市
9.231.82	9.231.82	广东省佛山市南海区
9.231.83	9.236.101	广东省佛山市
9.236.102	9.236.102	广东省佛山市高明区
9.236.103	9.248.161	广东省佛山市
9.248.162	9.248.162	广东省佛山市三水区
9.248.163	9.250.1	广东省佛山市
9.250.2	9.250.6	广东省佛山市南海区
9.250.7	9.250.22	广东省佛山市
9.250.23	9.250.23	广东省佛山市南海区
9.250.24	9.250.25	广东省佛山市
9.250.26	9.250.26	广东省佛山市南海区
9.250.27	9.250.141	广东省佛山市
9.250.142	9.250.142	广东省佛山市南海区
9.250.143	9.250.185	广东省佛山市
9.250.186	9.250.186	广东省佛山市南海区
9.250.187	9.250.225	广东省佛山市
9.250.226	9.250.226	广东省佛山市南海区
9.250.227	9.251.97	广东省佛山市
9.251.98	9.251.99	广东省佛山市南海区
9.251.100	9.252.25	广东省佛山市
9.252.26	9.252.26	广东省佛山市禅城区
9.252.27	9.*.*	广东省佛山市
10.0.0	10.23.*	广东省东莞市
10.24.0	10.27.*	广东省云浮市
10.28.0	10.47.*	广东省
10.48.0	10.63.*	广东省韶关市
10.64.0	10.66.*	广东省湛江市
10.67.0	10.71.*	广东省江门市
10.72.0	10.127.*	广东省湛江市
10.128.0	10.162.7	广东省茂名市
10.162.8	10.162.11	广东省茂名市信宜市
10.162.12	10.162.35	广东省茂名市
10.162.36	10.162.39	广东省茂名市信宜市
10.162.40	10.162.71	广东省茂名市
10.162.72	10.162.75	广东省茂名市信宜市
10.162.76	10.172.*	广东省茂名市
10.173.0	10.173.*	广东省惠州市
10.174.0	10.176.*	广东省茂名市
10.177.0	10.191.*	广东省
10.192.0	10.215.*	广东省汕头市
10.216.0	10.233.*	广东省
10.234.0	10.*.*	广东省肇庆市
11.0.0	11.119.*	广东省汕头市
11.120.0	11.160.*	广东省揭阳市
11.161.0	11.*.*	广东省惠州市
12.0.0	12.103.*	广东省江门市
12.104.0	12.175.*	广东省东莞市
12.176.0	12.*.*	广东省中山市
13.0.0	13.*.*	广东省东莞市
14.0.0	14.6.23	广东省广州市
14.6.24	14.6.39	广东省广州市天河区
14.6.40	14.6.135	广东省广州市
14.6.136	14.6.143	广东省广州市海珠区
14.6.144	14.6.191	广东省广州市
14.6.192	14.6.207	广东省广州市天河区
14.6.208	14.6.223	广东省广州市
14.6.224	14.6.231	广东省广州市天河区
14.6.232	14.6.239	广东省广州市
14.6.240	14.7.7	广东省广州市天河区
14.7.8	14.7.*	广东省广州市
14.8.0	14.12.*	广东省江门市
14.13.0	14.13.*	广东省东莞市
14.14.0	14.34.*	广东省江门市
14.35.0	14.35.*	广东省广州市
14.36.0	14.46.*	广东省江门市
14.47.0	14.47.*	广东省广州市
14.48.0	14.63.*	广东省江门市
14.64.0	14.71.*	广东省中山市
14.72.0	14.102.*	广东省深圳市
14.103.0	14.134.*	广东省中山市
14.135.0	14.162.*	广东省东莞市
14.163.0	14.212.*	广东省中山市
14.213.0	14.223.*	广东省汕头市
14.224.0	14.245.*	广东省中山市
14.246.0	14.249.*	广东省深圳市
14.250.0	14.250.*	广东省广州市
14.251.0	14.254.*	广东省中山市
14.*.0	14.*.*	广东省汕头市
15.0.0	15.2.72	广东省深圳市
15.2.73	15.2.73	广东省深圳市宝安区
15.2.74	15.2.191	广东省深圳市
15.2.192	15.2.199	广东省深圳市宝安区
15.2.200	15.8.47	广东省深圳市
15.8.48	15.8.51	广东省深圳市龙岗区
15.8.52	15.8.103	广东省深圳市
15.8.104	15.8.111	广东省深圳市龙岗区
15.8.112	15.12.103	广东省深圳市
15.12.104	15.12.111	广东省深圳市龙岗区
15.12.112	15.14.63	广东省深圳市
15.14.64	15.14.71	广东省深圳市宝安区
15.14.72	15.14.160	广东省深圳市
15.14.161	15.14.190	广东省深圳市宝安区
15.14.191	15.15.7	广东省深圳市
15.15.8	15.15.15	广东省深圳市罗湖区
15.15.16	15.15.65	广东省深圳市
15.15.66	15.15.66	广东省深圳市罗湖区
15.15.67	15.142.199	广东省深圳市
15.142.200	15.142.207	广东省深圳市宝安区
15.142.208	15.143.*	广东省深圳市
15.144.0	15.144.*	广东省深圳市宝安区
15.145.0	15.165.15	广东省深圳市
15.165.16	15.165.23	广东省深圳市龙岗区
15.165.24	15.168.191	广东省深圳市
15.168.192	15.168.199	广东省深圳市龙岗区
15.168.200	15.172.71	广东省深圳市
15.172.72	15.172.79	广东省深圳市龙岗区
15.172.80	15.214.96	广东省深圳市
15.214.97	15.214.97	广东省深圳市福田区
15.214.98	15.217.*	广东省深圳市
15.218.0	15.*.*	广东省惠州市
16.0.0	16.79.*	河北省沧州市
16.80.0	16.122.*	河北省沧州市任丘市
16.123.0	16.*.*	河北省沧州市
17.0.0	17.*.*	河北省衡水市
18.0.0	18.4.67	河北省保定市
18.4.68	18.4.79	河北省保定市安国市
18.4.80	18.4.91	河北省保定市
18.4.92	18.4.95	河北省保定市安国市
18.4.96	18.4.135	河北省保定市
18.4.136	18.4.139	河北省保定市安国市
18.4.140	18.4.155	河北省保定市
18.4.156	18.4.159	河北省保定市安国市
18.4.160	18.4.161	河北省保定市
18.4.162	18.4.162	河北省保定市安国市
18.4.163	18.4.163	河北省保定市
18.4.164	18.4.167	河北省保定市安国市
18.4.168	18.53.*	河北省保定市
18.54.0	18.54.*	河北省涿州市
18.55.0	19.*.*	河北省保定市
20.0.0	21.*.*	河北省唐山市
22.0.0	22.*.*	河北省秦皇岛市
23.0.0	23.58.*	河北省廊坊市
23.59.0	23.59.*	河北省霸州市
23.60.0	23.*.*	河北省廊坊市
24.0.0	24.*.*	河北省邯郸市
25.0.0	25.*.*	河北省张家口市
26.0.0	26.*.*	河北省承德市
27.0.0	27.103.107	河北省邢台市
27.103.108	27.103.108	河北省邢台市清河县
27.103.109	27.*.*	河北省邢台市
28.0.0	29.196.39	河北省石家庄市
29.196.40	29.196.47	河北省石家庄市晋州市
29.196.48	29.*.*	河北省石家庄市
30.0.0	30.*.*	山西省大同市
31.0.0	31.63.*	广西南宁市
31.64.0	31.95.*	广西梧州市
31.96.0	31.99.*	广西贺州市
31.100.0	31.103.*	广西防城港市
31.104.0	31.107.*	广西钦州市
31.108.0	31.111.*	广西百色市
31.112.0	31.127.*	广西桂林市
31.128.0	31.159.*	广西北海市
31.160.0	31.191.*	广西南宁市
31.192.0	31.199.*	广西桂林市
31.200.0	31.205.*	广西柳州市
31.206.0	31.207.*	广西贵港市
31.208.0	31.212.*	广西南宁市
31.213.0	31.213.*	广西柳州市
31.214.0	31.223.*	广西南宁市
31.224.0	31.239.*	广西柳州市
31.240.0	31.244.*	广西
31.245.0	31.249.*	广西贵港市
31.250.0	31.250.*	广西南宁市
31.251.0	31.*.*	广西贵港市
32.0.0	32.7.*	广东省广州市
32.8.0	32.8.*	广东省广州市天河区
32.9.0	32.9.79	广东省广州市
32.9.80	32.9.80	广东省广州市天河区
32.9.81	32.9.*	广东省广州市
32.10.0	32.11.*	广东省广州市天河区
32.12.0	32.13.*	广东省广州市
32.14.0	32.14.*	广东省广州市天河区
32.15.0	32.15.*	广东省广州市
32.16.0	32.18.*	广东省广州市天河区
32.19.0	32.19.*	广东省广州市
32.20.0	32.20.*	广东省广州市越秀区
32.21.0	32.22.*	广东省广州市荔湾区
32.23.0	32.26.49	广东省广州市
32.26.50	32.26.61	广东省广州市天河区
32.26.62	32.28.249	广东省广州市
32.28.250	32.28.250	广东省广州市天河区
32.28.251	32.31.17	广东省广州市
32.31.18	32.31.18	广东省广州市天河区
32.31.19	32.31.67	广东省广州市
32.31.68	32.31.68	广东省广州市天河区
32.31.69	32.35.*	广东省广州市
32.36.0	32.36.*	广东省广州市白云区
32.37.0	32.38.*	广东省广州市
32.39.0	32.39.*	广东省广州市白云区
32.40.0	32.43.*	广东省广州市
32.44.0	32.44.*	广东省广州市海珠区
32.45.0	32.47.*	广东省广州市
32.48.0	32.48.*	广东省广州市海珠区
32.49.0	32.50.170	广东省广州市
32.50.171	32.50.171	广东省广州市海珠区
32.50.172	32.50.*	广东省广州市
32.51.0	32.51.*	广东省广州市海珠区
32.52.0	32.53.*	广东省广州市
32.54.0	32.54.*	广东省广州市天河区
32.55.0	32.63.*	广东省广州市
32.64.0	32.65.*	广东省广州市白云区
32.66.0	32.69.*	广东省广州市
32.70.0	32.70.*	广东省广州市天河区
32.71.0	32.71.*	广东省广州市
32.72.0	32.77.*	广东省广州市白云区
32.78.0	32.78.*	广东省广州市天河区
32.79.0	32.79.*	广东省广州市白云区
32.80.0	32.89.161	广东省广州市天河区
32.89.162	32.89.166	广东省广州市
32.89.167	32.89.169	广东省广州市天河区
32.89.170	32.89.174	广东省广州市
32.89.175	32.89.196	广东省广州市天河区
32.89.197	32.89.197	广东省广州市
32.89.198	32.97.*	广东省广州市天河区
32.98.0	32.99.*	广东省广州市白云区
32.100.0	32.103.*	广东省广州市荔湾区
32.104.0	32.104.*	广东省广州市白云区
32.105.0	32.105.*	广东省广州市荔湾区
32.106.0	32.106.*	广东省广州市天河区
32.107.0	32.110.*	广东省广州市荔湾区
32.111.0	32.115.*	广东省广州市
32.116.0	32.116.*	广东省广州市番禺区
32.117.0	32.117.*	广东省广州市
32.118.0	32.118.*	广东省广州市番禺区
32.119.0	32.123.*	广东省广州市
32.124.0	32.127.*	广东省广州市番禺区
32.128.0	32.141.*	广东省广州市
32.142.0	32.142.*	广东省广州市天河区
32.143.0	32.151.27	广东省广州市
32.151.28	32.151.28	广东省广州市海珠区
32.151.29	32.151.*	广东省广州市
32.152.0	32.154.*	广东省广州市天河区
32.155.0	32.158.*	广东省广州市
32.159.0	32.163.*	广东省广州市天河区
32.164.0	32.165.*	广东省广州市
32.166.0	32.166.*	广东省广州市天河区
32.167.0	32.167.*	广东省广州市
32.168.0	32.169.*	广东省广州市海珠区
32.170.0	32.170.*	广东省广州市黄埔区
32.171.0	32.173.*	广东省广州市海珠区
32.174.0	32.174.*	广东省广州市黄埔区
32.175.0	32.177.*	广东省广州市海珠区
32.178.0	32.178.*	广东省广州市黄埔区
32.179.0	32.180.*	广东省广州市海珠区
32.181.0	32.183.*	广东省广州市白云区
32.184.0	32.186.*	广东省广州市天河区
32.187.0	32.187.*	广东省广州市花都区
32.188.0	32.191.*	广东省广州市黄埔区
32.192.0	32.193.*	广东省广州市海珠区
32.194.0	32.197.*	广东省广州市白云区
32.198.0	32.199.*	广东省广州市越秀区
32.200.0	32.200.*	广东省广州市
32.201.0	32.201.*	广东省广州市花都区
32.202.0	32.204.*	广东省广州市
32.205.0	32.205.*	广东省广州市天河区
32.206.0	32.207.*	广东省广州市
32.208.0	32.208.*	广东省广州市番禺区
32.209.0	32.209.*	广东省广州市海珠区
32.210.0	32.212.*	广东省广州市番禺区
32.213.0	32.215.*	广东省广州市
32.216.0	32.216.*	广东省广州市番禺区
32.217.0	32.*.*	广东省广州市
33.0.0	33.7.*	广东省广州市荔湾区
33.8.0	33.11.*	广东省广州市天河区
33.12.0	33.15.*	广东省广州市
33.16.0	33.18.*	广东省广州市番禺区
33.19.0	33.23.*	广东省广州市
33.24.0	33.29.*	广东省广州市番禺区
33.30.0	33.57.*	广东省广州市
33.58.0	33.61.*	广东省广州市荔湾区
33.62.0	33.62.*	广东省广州市越秀区
33.63.0	33.71.*	广东省广州市荔湾区
33.72.0	33.74.*	广东省广州市
33.75.0	33.75.*	广东省广州市增城市
33.76.0	33.117.*	广东省广州市
33.118.0	33.118.*	广东省广州市番禺区
33.119.0	33.143.*	广东省广州市
33.144.0	33.147.*	广东省广州市天河区
33.148.0	33.165.*	广东省广州市
33.166.0	33.168.*	广东省广州市增城市
33.169.0	33.188.33	广东省广州市
33.188.34	33.188.34	广东省广州市增城市
33.188.35	33.188.40	广东省广州市
33.188.41	33.188.41	广东省广州市增城市
33.188.42	33.188.132	广东省广州市
33.188.133	33.188.133	广东省广州市增城区
33.188.134	33.189.129	广东省广州市
33.189.130	33.189.130	广东省广州市增城市
33.189.131	33.190.*	广东省广州市
33.191.0	33.191.*	广东省广州市番禺区
33.192.0	33.201.*	广东省广州市
33.202.0	33.202.65	广东省广州市天河区
33.202.66	33.202.66	广东省广州市
33.202.67	33.202.68	广东省广州市天河区
33.202.69	33.202.69	广东省广州市白云区
33.202.70	33.202.*	广东省广州市天河区
33.203.0	33.220.57	广东省广州市
33.220.58	33.220.58	广东省广州市花都区
33.220.59	33.220.137	广东省广州市
33.220.138	33.220.138	广东省广州市花都区
33.220.139	33.220.202	广东省广州市
33.220.203	33.220.203	广东省广州市花都区
33.220.204	33.221.145	广东省广州市
33.221.146	33.221.146	广东省广州市花都区
33.221.147	33.222.1	广东省广州市
33.222.2	33.222.2	广东省广州市花都区
33.222.3	33.222.42	广东省广州市
33.222.43	33.222.43	广东省广州市花都区
33.222.44	33.222.65	广东省广州市
33.222.66	33.222.66	广东省广州市花都区
33.222.67	33.222.153	广东省广州市
33.222.154	33.222.154	广东省广州市花都区
33.222.155	33.226.17	广东省广州市
33.226.18	33.226.18	广东省广州市从化市
33.226.19	33.226.33	广东省广州市
33.226.34	33.226.34	广东省广州市从化市
33.226.35	33.226.65	广东省广州市
33.226.66	33.226.66	广东省广州市从化市
33.226.67	33.226.160	广东省广州市
33.226.161	33.226.173	广东省广州市从化市
33.226.174	33.229.9	广东省广州市
33.229.10	33.229.10	广东省广州市天河区
33.229.11	33.233.28	广东省广州市
33.233.29	33.233.29	广东省广州市白云区
33.233.30	33.233.57	广东省广州市
33.233.58	33.233.58	广东省广州市白云区
33.233.59	33.235.241	广东省广州市
33.235.242	33.235.242	广东省广州市海珠区
33.235.243	33.237.*	广东省广州市
33.238.0	33.238.99	广东省广州市白云区
33.238.100	33.238.100	广东省广州市
33.238.101	33.238.*	广东省广州市白云区
33.239.0	33.243.57	广东省广州市
33.243.58	33.243.58	广东省广州市天河区
33.243.59	33.248.57	广东省广州市
33.248.58	33.248.58	广东省广州市黄埔区
33.248.59	33.*.*	广东省广州市
34.0.0	34.1.*	广东省深圳市
34.2.0	34.2.*	广东省深圳市龙岗区
34.3.0	34.9.*	广东省深圳市
34.10.0	34.14.*	广东省深圳市罗湖区
34.15.0	34.30.*	广东省深圳市
34.31.0	34.31.*	广东省深圳市南山区
34.32.0	34.32.*	广东省深圳市
34.33.0	34.33.*	广东省深圳市福田区
34.34.0	34.34.*	广东省深圳市南山区
34.35.0	34.42.*	广东省深圳市
34.43.0	34.44.*	广东省深圳市福田区
34.45.0	34.50.*	广东省深圳市
34.51.0	34.61.*	广东省深圳市南山区
34.62.0	34.64.*	广东省深圳市
