
5.0.0	5.*.*	菲律宾
6.0.0	6.*.*	日本
7.0.0	7.127.*	澳大利亚
7.128.0	7.*.*	韩国
8.0.0	15.*.*	日本
16.0.0	23.*.*	印度
24.0.0	27.*.*	泰国
28.0.0	30.*.*	日本
31.0.0	31.63.*	澳门
31.64.0	31.127.*	日本
31.128.0	31.191.*	韩国
31.192.0	31.198.*	广东省广州市
31.199.0	31.199.*	广东省广州市越秀区
31.200.0	31.202.*	广东省广州市
31.203.0	31.203.*	广东省广州市天河区
31.204.0	31.226.*	广东省广州市
31.227.0	31.228.*	广东省广州市海珠区
31.229.0	31.230.*	广东省广州市
31.231.0	31.231.*	广东省广州市海珠区
31.232.0	31.232.*	广东省广州市
31.233.0	31.233.*	广东省广州市海珠区
31.234.0	31.*.*	广东省广州市
32.0.0	32.17.*	吉林省长春市
32.18.0	32.29.*	吉林省吉林市
32.30.0	32.127.*	吉林省长春市
32.128.0	32.143.*	吉林省公主岭市
32.144.0	32.156.29	吉林省四平市
32.156.30	32.156.30	吉林省双辽市
32.156.31	32.159.*	吉林省四平市
32.160.0	32.*.*	吉林省吉林市
33.0.0	33.3.*	北京市东城区
33.4.0	33.4.*	北京市
33.5.0	33.5.*	北京市西城区
33.6.0	33.7.*	北京市
33.8.0	33.8.*	北京市东城区
33.9.0	33.12.*	北京市
33.13.0	33.23.*	北京市东城区
33.24.0	33.47.*	北京市
33.48.0	33.66.*	北京市海淀区
33.67.0	33.77.*	北京市
33.78.0	33.87.*	北京市石景山区
33.88.0	33.95.*	北京市
33.96.0	33.110.*	北京市丰台区
33.111.0	33.119.*	北京市
33.120.0	33.120.*	北京市海淀区
33.121.0	33.123.*	北京市朝阳区
33.124.0	33.126.*	北京市海淀区
33.127.0	33.127.*	北京市朝阳区
33.128.0	33.128.*	北京市海淀区
33.129.0	33.136.*	北京市
33.137.0	33.137.*	北京市宣武区
33.138.0	33.155.*	北京市海淀区
33.156.0	33.160.*	北京市
33.161.0	33.161.23	北京市西城区
33.161.24	33.161.24	北京市海淀区
33.161.25	33.161.*	北京市西城区
33.162.0	33.165.*	北京市海淀区
33.166.0	33.167.*	北京市西城区
33.168.0	33.199.*	北京市海淀区
33.200.0	33.207.*	北京市宣武区
33.208.0	33.211.*	北京市门头沟区
33.212.0	33.212.*	北京市
33.213.0	33.213.*	北京市门头沟区
33.214.0	33.214.*	北京市
33.215.0	33.215.*	北京市石景山区
33.216.0	33.217.*	北京市
33.218.0	33.223.*	北京市丰台区
33.224.0	33.225.*	北京市
33.226.0	33.226.*	北京市朝阳区
33.227.0	33.231.*	北京市
33.232.0	33.242.*	北京市大兴区
33.243.0	33.*.*	北京市
34.0.0	34.8.*	北京市朝阳区
34.9.0	34.31.*	北京市
34.32.0	34.34.*	北京市丰台区
34.35.0	34.35.*	北京市朝阳区
34.36.0	34.39.*	北京市丰台区
34.40.0	34.48.*	北京市海淀区
34.49.0	34.51.*	北京市
34.52.0	34.55.*	北京市海淀区
34.56.0	34.56.*	北京市
34.57.0	34.68.*	北京市昌平区
34.69.0	34.69.*	北京市海淀区
34.70.0	34.71.*	北京市昌平区
34.72.0	34.80.*	北京市
34.81.0	34.81.*	北京市顺义区
34.82.0	34.90.*	北京市
34.91.0	34.94.*	北京市顺义区
34.95.0	34.97.*	北京市
34.98.0	34.102.*	北京市房山区
34.103.0	34.113.*	北京市
34.114.0	34.118.*	北京市房山区
34.119.0	34.126.*	北京市
34.127.0	34.127.*	北京市大兴区
34.128.0	34.130.*	北京市通州区
34.131.0	34.132.*	北京市
34.133.0	34.133.*	北京市通州区
34.134.0	34.158.*	北京市
34.159.0	34.159.*	北京市通州区
34.160.0	34.175.*	北京市
34.176.0	34.176.*	北京市朝阳区
34.177.0	34.177.*	北京市
34.178.0	34.182.*	北京市通州区
34.183.0	34.183.*	北京市海淀区
34.184.0	34.187.*	北京市
34.188.0	34.188.*	北京市大兴区
34.189.0	34.193.*	北京市
34.194.0	34.198.*	北京市海淀区
34.199.0	34.209.*	北京市
34.210.0	34.210.*	北京市朝阳区
34.211.0	34.212.*	北京市
34.213.0	34.214.*	北京市朝阳区
34.215.0	34.215.*	北京市
34.216.0	34.223.*	北京市海淀区
34.224.0	34.239.*	北京市
34.240.0	34.245.*	北京市丰台区
34.246.0	34.246.*	北京市海淀区
34.247.0	34.247.*	北京市
34.248.0	34.252.*	北京市朝阳区
34.253.0	35.127.*	北京市
35.128.0	35.*.*	天津市
36.0.0	36.16.*	天津市武清区
36.17.0	36.18.*	天津市
36.19.0	36.19.*	天津市武清区
36.20.0	36.26.*	天津市
36.27.0	36.27.*	天津市武清区
36.28.0	36.31.*	天津市
36.32.0	36.32.*	天津市河东区
36.33.0	36.33.*	天津市南开区
36.34.0	36.38.*	天津市
36.39.0	36.39.*	天津市河东区
36.40.0	36.40.234	天津市
36.40.235	36.40.235	天津市河东区
36.40.236	36.43.*	天津市
36.44.0	36.44.*	天津市河东区
36.45.0	36.54.*	天津市
36.55.0	36.55.*	天津市河东区
36.56.0	36.82.*	天津市
36.83.0	36.83.*	天津市东丽区
36.84.0	36.105.*	天津市
36.106.0	36.106.*	天津市滨海新区
36.107.0	36.110.*	天津市
36.111.0	36.111.*	天津市滨海新区
36.112.0	36.143.*	天津市
36.144.0	36.145.*	天津市河北区
36.146.0	36.150.*	天津市
36.151.0	36.151.*	天津市和平区
36.152.0	36.158.*	天津市
36.159.0	36.159.*	天津市河北区
36.160.0	36.190.*	天津市
36.191.0	36.191.*	天津市北辰区
36.192.0	36.193.*	天津市
