
0.0.0	0.63.*	山东省济南市
0.64.0	0.90.81	山东省烟台市
0.90.82	0.90.82	山东省烟台市福山区
0.90.83	0.91.89	山东省烟台市
0.91.90	0.91.90	山东省烟台市莱山区
0.91.91	0.91.134	山东省烟台市
0.91.135	0.91.135	山东省烟台市莱山区
0.91.136	0.91.140	山东省烟台市
0.91.141	0.91.141	山东省烟台市莱山区
0.91.142	0.91.180	山东省烟台市
0.91.181	0.91.181	山东省烟台市莱山区
0.91.182	0.92.200	山东省烟台市
0.92.201	0.92.201	山东省烟台市莱山区
0.92.202	0.92.221	山东省烟台市
0.92.222	0.92.222	山东省烟台市莱山区
0.92.223	0.95.33	山东省烟台市
0.95.34	0.95.34	山东省烟台市莱山区
0.95.35	0.127.*	山东省烟台市
0.128.0	0.181.29	山东省青岛市
0.181.30	0.181.30	山东省青岛市市北区
0.181.31	0.181.159	山东省青岛市
0.181.160	0.181.163	山东省青岛市市北区
0.181.164	0.181.194	山东省青岛市
0.181.195	0.181.195	山东省青岛市市北区
0.181.196	0.181.227	山东省青岛市
0.181.228	0.181.231	山东省青岛市市北区
0.181.232	0.234.65	山东省青岛市
0.234.66	0.234.66	山东省青岛市市北区
0.234.67	0.247.74	山东省青岛市
0.247.75	0.247.78	山东省青岛市胶州市
0.247.79	0.*.*	山东省青岛市
1.0.0	1.9.208	山东省淄博市
1.9.209	1.9.209	山东省枣庄市市中区
1.9.210	1.27.113	山东省淄博市
1.27.114	1.27.114	山东省淄博市周村区
1.27.115	1.32.110	山东省淄博市
1.32.111	1.32.111	山东省淄博市周村区
1.32.112	1.33.119	山东省淄博市
1.33.120	1.33.120	山东省淄博市周村区
1.33.121	1.47.27	山东省淄博市
1.47.28	1.47.28	山东省淄博市桓台县
1.47.29	1.61.*	山东省淄博市
1.62.0	1.63.*	山东省
1.64.0	1.80.1	山东省潍坊市
1.80.2	1.80.3	山东省潍坊市寿光市
1.80.4	1.80.9	山东省潍坊市
1.80.10	1.80.10	山东省潍坊市寿光市
1.80.11	1.80.12	山东省潍坊市
1.80.13	1.80.14	山东省潍坊市寿光市
1.80.15	1.80.37	山东省潍坊市
1.80.38	1.80.40	山东省潍坊市寿光市
1.80.41	1.80.41	山东省寿光市
1.80.42	1.80.69	山东省潍坊市
1.80.70	1.80.70	山东省潍坊市寿光市
1.80.71	1.81.3	山东省潍坊市
1.81.4	1.81.9	山东省潍坊市寿光市
1.81.10	1.81.10	山东省潍坊市
1.81.11	1.81.12	山东省潍坊市寿光市
1.81.13	1.81.20	山东省潍坊市
1.81.21	1.81.21	山东省潍坊市寿光市
1.81.22	1.81.22	山东省潍坊市
1.81.23	1.81.25	山东省潍坊市寿光市
1.81.26	1.81.31	山东省潍坊市
1.81.32	1.81.47	山东省潍坊市寿光市
1.81.48	1.81.49	山东省潍坊市
1.81.50	1.81.50	山东省潍坊市寿光市
1.81.51	1.81.51	山东省潍坊市
1.81.52	1.81.53	山东省潍坊市寿光市
1.81.54	1.81.59	山东省潍坊市
1.81.60	1.81.60	山东省潍坊市寿光市
1.81.61	1.81.63	山东省潍坊市
1.81.64	1.81.95	山东省潍坊市寿光市
1.81.96	1.82.1	山东省潍坊市
1.82.2	1.82.2	山东省潍坊市寿光市
1.82.3	1.82.17	山东省潍坊市
1.82.18	1.82.19	山东省潍坊市寿光市
1.82.20	1.82.20	山东省潍坊市
1.82.21	1.82.21	山东省潍坊市寿光市
1.82.22	1.82.90	山东省潍坊市
1.82.91	1.82.91	山东省潍坊市寿光市
1.82.92	1.82.98	山东省潍坊市
1.82.99	1.82.99	山东省潍坊市寿光市
1.82.100	1.82.115	山东省潍坊市
1.82.116	1.82.116	山东省潍坊市寿光市
1.82.117	1.82.117	山东省潍坊市
1.82.118	1.82.118	山东省潍坊市寿光市
1.82.119	1.83.70	山东省潍坊市
1.83.71	1.83.71	山东省潍坊市寿光市
1.83.72	1.83.72	山东省潍坊市
1.83.73	1.83.73	山东省潍坊市寿光市
1.83.74	1.83.74	山东省潍坊市
1.83.75	1.83.76	山东省潍坊市寿光市
1.83.77	1.83.77	山东省潍坊市
1.83.78	1.83.78	山东省潍坊市寿光市
1.83.79	1.83.145	山东省潍坊市
1.83.146	1.83.148	山东省潍坊市寿光市
1.83.149	1.83.193	山东省潍坊市
1.83.194	1.83.194	山东省潍坊市寿光市
1.83.195	1.83.196	山东省潍坊市
1.83.197	1.83.197	山东省潍坊市寿光市
1.83.198	1.83.200	山东省潍坊市
1.83.201	1.83.202	山东省潍坊市寿光市
1.83.203	1.83.211	山东省潍坊市
1.83.212	1.83.212	山东省潍坊市寿光市
1.83.213	1.83.219	山东省潍坊市
1.83.220	1.83.220	山东省潍坊市寿光市
1.83.221	1.95.*	山东省潍坊市
1.96.0	1.97.0	山东省潍坊市昌乐县
1.97.1	1.98.33	山东省潍坊市
1.98.34	1.98.34	山东省潍坊市昌乐县
1.98.35	1.98.37	山东省潍坊市
1.98.38	1.98.38	山东省潍坊市昌乐县
1.98.39	1.98.41	山东省潍坊市
1.98.42	1.98.42	山东省潍坊市昌乐县
1.98.43	1.98.49	山东省潍坊市
1.98.50	1.98.50	山东省潍坊市昌乐县
1.98.51	1.98.53	山东省潍坊市
1.98.54	1.98.54	山东省潍坊市昌乐县
1.98.55	1.98.61	山东省潍坊市
1.98.62	1.98.62	山东省潍坊市昌乐县
1.98.63	1.98.65	山东省潍坊市
1.98.66	1.98.66	山东省潍坊市昌乐县
1.98.67	1.98.69	山东省潍坊市
1.98.70	1.98.70	山东省潍坊市昌乐县
1.98.71	1.98.83	山东省潍坊市
1.98.84	1.98.84	山东省潍坊市昌乐县
1.98.85	1.98.89	山东省潍坊市
1.98.90	1.98.90	山东省潍坊市昌乐县
1.98.91	1.98.97	山东省潍坊市
1.98.98	1.98.98	山东省潍坊市昌乐县
1.98.99	1.98.113	山东省潍坊市
1.98.114	1.98.114	山东省潍坊市昌乐县
1.98.115	1.98.125	山东省潍坊市
1.98.126	1.98.126	山东省潍坊市昌乐县
1.98.127	1.98.129	山东省潍坊市
1.98.130	1.98.130	山东省潍坊市昌乐县
1.98.131	1.98.137	山东省潍坊市
1.98.138	1.98.138	山东省潍坊市昌乐县
1.98.139	1.98.145	山东省潍坊市
1.98.146	1.98.146	山东省潍坊市昌乐县
1.98.147	1.98.181	山东省潍坊市
1.98.182	1.98.182	山东省潍坊市昌乐县
1.98.183	1.104.41	山东省潍坊市
1.104.42	1.104.42	山东省诸城市
1.104.43	1.116.29	山东省潍坊市
1.116.30	1.116.30	山东省潍坊市临朐县
1.116.31	1.116.81	山东省潍坊市
1.116.82	1.116.82	山东省潍坊市临朐县
1.116.83	1.116.83	山东省潍坊市
1.116.84	1.116.87	山东省潍坊市临朐县
1.116.88	1.116.113	山东省潍坊市
1.116.114	1.116.114	山东省潍坊市临朐县
1.116.115	1.117.15	山东省潍坊市
1.117.16	1.117.31	山东省潍坊市临朐县
1.117.32	1.117.45	山东省潍坊市
1.117.46	1.117.46	山东省潍坊市临朐县
1.117.47	1.117.47	山东省潍坊市
1.117.48	1.117.79	山东省潍坊市临朐县
1.117.80	1.117.107	山东省潍坊市
1.117.108	1.117.111	山东省潍坊市临朐县
1.117.112	1.117.143	山东省潍坊市
1.117.144	1.117.147	山东省潍坊市临朐县
1.117.148	1.117.151	山东省潍坊市
1.117.152	1.117.163	山东省潍坊市临朐县
1.117.164	1.117.189	山东省潍坊市
1.117.190	1.117.190	山东省潍坊市临朐县
1.117.191	1.117.193	山东省潍坊市
1.117.194	1.117.194	山东省潍坊市临朐县
1.117.195	1.117.209	山东省潍坊市
1.117.210	1.117.210	山东省潍坊市临朐县
1.117.211	1.117.213	山东省潍坊市
1.117.214	1.117.214	山东省潍坊市临朐县
1.117.215	1.117.217	山东省潍坊市
1.117.218	1.117.218	山东省潍坊市临朐县
1.117.219	1.117.249	山东省潍坊市
1.117.250	1.117.250	山东省潍坊市临朐县
1.117.251	1.118.*	山东省潍坊市
1.119.0	1.122.33	山东省维坊市
1.122.34	1.122.34	山东省昌邑市
1.122.35	1.122.53	山东省维坊市
1.122.54	1.122.54	山东省昌邑市
1.122.55	1.122.81	山东省维坊市
1.122.82	1.122.82	山东省昌邑市
1.122.83	1.122.129	山东省维坊市
1.122.130	1.122.130	山东省昌邑市
1.122.131	1.122.141	山东省维坊市
1.122.142	1.122.142	山东省潍坊市
1.122.143	1.122.185	山东省维坊市
1.122.186	1.122.186	山东省潍坊市
1.122.187	1.122.189	山东省维坊市
1.122.190	1.122.190	山东省昌邑市
1.122.191	1.122.201	山东省青岛市
1.122.202	1.122.202	山东省昌邑市
1.122.203	1.122.*	山东省青岛市
1.123.0	1.123.61	山东省维坊市
1.123.62	1.127.*	山东省潍坊市
1.128.0	1.135.*	山东省
1.136.0	1.147.*	山东省德州市
1.148.0	1.148.*	山东省临沂市
1.149.0	1.154.*	山东省德州市
1.155.0	1.159.*	山东省
1.160.0	1.191.*	山东省泰安市
1.192.0	1.214.1	山东省菏泽市
1.214.2	1.214.2	山东省菏泽市鄄城县
1.214.3	1.214.9	山东省菏泽市
1.214.10	1.214.10	山东省菏泽市鄄城县
1.214.11	1.214.13	山东省菏泽市
1.214.14	1.214.14	山东省菏泽市鄄城县
1.214.15	1.214.21	山东省菏泽市
1.214.22	1.214.22	山东省菏泽市鄄城县
1.214.23	1.214.25	山东省菏泽市
1.214.26	1.214.26	山东省菏泽市鄄城县
1.214.27	1.214.29	山东省菏泽市
1.214.30	1.214.30	山东省菏泽市鄄城县
1.214.31	1.214.33	山东省菏泽市
1.214.34	1.214.34	山东省菏泽市鄄城县
1.214.35	1.214.41	山东省菏泽市
1.214.42	1.214.42	山东省菏泽市鄄城县
1.214.43	1.214.49	山东省菏泽市
1.214.50	1.214.50	山东省菏泽市鄄城县
1.214.51	1.214.53	山东省菏泽市
1.214.54	1.214.54	山东省菏泽市鄄城县
1.214.55	1.214.57	山东省菏泽市
1.214.58	1.214.58	山东省菏泽市鄄城县
1.214.59	1.214.65	山东省菏泽市
1.214.66	1.214.66	山东省菏泽市鄄城县
1.214.67	1.214.73	山东省菏泽市
1.214.74	1.214.74	山东省菏泽市鄄城县
